Hallucination Score,METEOR_Score,BERTScore_F1
0,0.660740740740741,0.9165293574333190
0,0.7300135501355010,0.9413565397262570
1,0.9421702404158550,0.9414210915565490
1,0.9708049886621320,0.9495642781257630
1,0.9746570121951220,0.9569472074508670
1,0.7599577456036790,0.8916863203048710
1,0.40990259740259700,0.9185318946838380
1,0.7566778900112230,0.9514849781990050
0,0.43478260869565200,0.9275636076927190
1,0.9536471433704640,0.9530842900276180
1,0.8815192743764170,0.9362179636955260
0,0.18507462686567200,0.8419148325920110
0,0.9733514001806690,0.9670554995536800
0,0.6992669753086420,0.8710277080535890
1,0.9655017921146950,0.956076443195343
2/3,0.7153846153846150,0.9362401366233830
1,0.9746570121951220,0.9609494209289550
2/3,0.3711996019688330,0.8923706412315370
0,0.594315245478036,0.9241296648979190
1,0.9421702404158550,0.9347524642944340
1,0.9708049886621320,0.9524345993995670
0,0.3432624113475180,0.8377779722213750
1,0.9746570121951220,0.9617345333099370
1,0.7485875706214690,0.8980628848075870
1,0.8179012345679010,0.9338528513908390
2/3,0.28378215191402000,0.9074035882949830
2/3,0.9215917772067510,0.942487895488739
1/3,0.40225366876310300,0.9001649022102360
1,0.9421702404158550,0.9413789510726930
1,0.9708049886621320,0.9511894583702090
1,0.6898846495119790,0.8725714087486270
1,0.8354309001558190,0.9030101299285890
1,0.8179012345679010,0.9400274753570560
1,0.5395723036668420,0.9058076739311220
1,0.6893988941078540,0.9354764819145200
1,0.7359965262700830,0.9226840138435360
1,0.9708049886621320,0.9488121271133420
1,0.9746570121951220,0.9633458256721500
2/3,0.6554967666078780,0.9224478006362920
1,0.6048387096774200,0.9169225096702580
2/3,0.820249835634451,0.9479495286941530
2/3,0.9057829759584150,0.9142078757286070
2/3,0.1820388349514560,0.8763214349746700
1,0.21052631578947400,0.8853979706764220
1,0.9708049886621320,0.9424965977668760
2/3,0.29296875000000000,0.876153826713562
1,0.9746570121951220,0.9652019143104550
0,0.6554967666078780,0.8939735293388370
1,0.9817739079102720,0.9597511887550350
1/3,0.584951881014873,0.9225671291351320
0,0.6856995884773660,0.8916164040565490
2/3,0.8576944291230010,0.9328656196594240
1,0.9421702404158550,0.9359312057495120
1,0.9708049886621320,0.9515992999076840
1,0.9746570121951220,0.9605385661125180
0,0.0,0.841462254524231
1,0.9746570121951220,0.9400060772895810
2/3,0.5874840357598980,0.9059328436851500
2/3,0.9833219489981790,0.9729402661323550
0,0.5111111111111110,0.9188405871391300
1,0.9421702404158550,0.9361186623573300
1,0.9746570121951220,0.9557792544364930
1,0.9746570121951220,0.9624038338661190
0,0.7889801297648010,0.9414881467819210
1,0.7500000000000000,0.9187820553779600
1,0.9307692307692310,0.946635365486145
1,0.530950988290605,0.9244802594184880
2/3,0.5211425820428470,0.9000390768051150
1,0.9536471433704640,0.9389363527297970
1,0.9708049886621320,0.9507544040679930
1,0.9746570121951220,0.9615355730056760
2/3,0.5476190476190480,0.9124239683151250
1,0.9746570121951220,0.9494239091873170
1,0.5432554325543260,0.9045971035957340
0,0.6165605095541400,0.9009162187576290
0,0.12376237623762400,0.8804850578308110
1,0.9421702404158550,0.9446250200271610
1,0.6859756097560980,0.941672146320343
1,0.9746570121951220,0.9582713842391970
0,0.39316239316239300,0.8620222806930540
1,0.48947368421052600,0.9154475927352910
2/3,0.7331858407079650,0.9381913542747500
0,0.27479091995221000,0.8937218189239500
1,0.8000000000000000,0.9373725652694700
1,0.908203125,0.9061220288276670
1,0.9746570121951220,0.9605141878128050
0,0.8892857142857140,0.956089973449707
2/3,0.5470483990296110,0.9401546120643620
2/3,0.33189033189033200,0.9005258679389950
1,0.9746570121951220,0.9597454071044920
0,0.06578947368421050,0.865370512008667
1,0.854119425547997,0.9233975410461430
0,0.8892857142857140,0.9563286900520330
2/3,0.8962962962962960,0.9479034543037420
1,0.9536471433704640,0.9400383234024050
1,0.783572688334593,0.9359105825424190
1,0.9746570121951220,0.9602148532867430
1/3,0.5174180327868850,0.8968510031700130
1,0.8629377676996720,0.941663920879364
2/3,0.9817739079102720,0.9705641865730290
1,0.9338235294117650,0.9433149695396420
1,0.8101794934841410,0.9185734391212460
2/3,0.9846243500089650,0.9759195446968080
0,0.6208609271523180,0.8940218091011050
1/3,0.5260416666666670,0.8990492224693300
